pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
2,2022,4,7,0,0,0,0,0,1,0,3,5,2,2,2,3.37,1.53,0,85.5,-2.08,53.62,5.81,2454.0,6.9,-0.21,2.39,19.0,2.0,5.0,0.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,1,3,1,2,0,0,3.21,1.67,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,1,1,0,0,1,3,2,2,1,0,3.58,1.68,0,77.7,-1.53,53.74,6.28,2344.0,6.8,-0.14,3.61,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,1,1,0,0,1,3,3,2,1,1,3.38,1.64,0,99.5,-2.06,53.63,5.85,2055.0,6.9,1.03,2.2,19.0,9.0,14.0,0.0,0.0,0.0
0,2022,4,7,0,0,1,1,0,0,1,3,4,2,2,1,3.58,1.68,0,97.6,-1.88,53.63,5.87,2131.0,6.9,1.46,1.56,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,0,0,4,1,0,0,0,3.27,1.54,1,,,,,,,,,,,,,,
2,2022,4,7,0,0,1,0,0,0,0,4,2,0,0,1,3.37,1.53,0,82.1,-2.37,53.75,5.82,2323.0,6.8,0.21,2.69,19.0,2.0,5.0,0.0,0.0,0.0
1,2022,4,7,0,0,1,0,0,0,0,4,3,0,0,2,3.37,1.53,0,89.0,-1.94,53.56,6.05,1375.0,6.9,0.48,2.04,19.0,3.0,9.0,0.0,0.0,0.0
1,2022,4,7,0,0,1,0,0,0,0,4,4,0,1,2,3.27,1.54,0,96.6,-2.14,53.57,5.85,2072.0,6.9,2.39,2.26,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,0,4,1,1,0,0,3.43,1.64,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,1,1,0,0,0,4,2,1,1,0,3.55,1.63,0,77.7,-1.59,53.68,6.26,2406.0,6.8,1.04,1.82,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,0,4,3,1,1,1,3.45,1.64,0,97.8,-2.24,53.48,5.77,2110.0,7.0,0.57,2.56,19.0,3.0,6.0,0.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,0,4,4,1,2,1,3.32,1.64,0,88.7,-2.08,53.48,5.74,1328.0,7.0,-1.38,3.13,19.0,0.0,11.0,1.0,0.0,0.0
1,2022,4,7,0,0,1,1,0,0,0,4,5,1,3,1,3.55,1.63,0,78.1,-1.76,53.68,6.2,2430.0,6.8,1.38,0.14,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,0,4,6,1,3,2,3.55,1.63,0,97.4,-2.14,53.53,5.79,2178.0,7.0,0.31,2.44,19.0,3.0,6.0,0.0,0.0,0.0
2,2022,4,7,0,0,1,1,0,0,0,4,7,1,3,2,3.55,1.63,0,78.8,-1.74,53.61,6.21,2446.0,6.9,0.07,1.42,19.0,3.0,14.0,0.0,0.0,0.0
1,2022,4,7,0,0,1,0,0,0,0,4,1,2,0,0,3.85,1.87,1,,,,,,,,,,,,,,
0,2022,4,7,0,0,1,0,0,0,0,4,2,2,0,1,3.37,1.53,0,96.2,-2.1,53.68,5.88,1989.0,6.8,0.76,1.84,19.0,2.0,9.0,0.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,0,0,4,3,2,0,2,3.37,1.53,0,84.2,-2.35,53.74,5.8,2483.0,6.8,0.93,1.82,19.0,9.0,14.0,0.0,0.0,0.0
2,2022,4,7,0,0,1,0,0,0,0,5,1,0,0,0,3.12,1.54,1,,,,,,,,,,,,,,
2,2022,4,7,0,0,1,0,0,0,0,5,2,0,0,1,3.12,1.54,0,75.3,-1.66,53.94,6.36,2266.0,6.6,-0.18,3.22,19.0,2.0,2.0,0.0,0.0,0.0
1,2022,4,7,0,0,1,0,0,0,0,5,3,0,1,1,3.37,1.53,0,88.9,-1.57,53.51,6.22,1409.0,7.0,0.87,1.27,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,1,0,5,1,0,0,0,3.43,1.53,1,,,,,,,,,,,,,,
1,2022,4,7,0,0,1,0,0,1,0,5,2,0,0,1,3.37,1.53,0,83.0,-2.25,53.61,5.88,2379.0,6.9,-0.72,2.1,19.0,2.0,7.0,0.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,1,0,5,3,0,0,2,3.37,1.53,0,95.3,-1.96,53.6,5.98,2164.0,6.9,0.51,3.25,19.0,5.0,3.0,0.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,1,0,5,4,0,1,2,3.37,1.53,0,85.2,-2.33,53.52,5.75,2411.0,7.0,1.19,1.18,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,1,0,5,1,1,0,0,2.85,1.3,1,,,,,,,,,,,,,,
2,2022,4,7,0,0,1,0,0,1,0,5,2,1,0,1,2.9,1.35,0,83.7,-2.38,53.59,5.79,2454.0,6.9,-0.56,2.83,19.0,2.0,1.0,0.0,0.0,0.0
1,2022,4,7,0,0,1,0,0,1,0,5,3,1,1,1,2.88,1.27,0,91.5,-2.22,53.36,5.85,2303.0,7.1,0.71,0.27,19.0,1.0,14.0,1.0,0.0,0.0
0,2022,4,7,0,0,1,0,0,1,0,5,4,1,1,2,3.1,1.45,0,95.1,-2.15,53.65,5.84,2088.0,6.9,1.02,2.23,19.0,2.0,12.0,0.0,0.0,0.0
1,2022,4,14,1,2,0,1,0,0,0,1,1,0,0,0,3.34,1.42,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,0,1,0,0,0,1,2,0,0,1,3.47,1.59,0,96.8,-2.16,53.67,5.96,2137.0,6.8,0.05,1.54,19.0,2.0,8.0,0.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,0,0,1,3,0,0,2,3.41,1.44,0,97.1,-2.13,53.64,5.89,2175.0,6.9,-0.24,2.57,19.0,3.0,5.0,0.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,0,0,1,4,0,1,2,3.41,1.57,0,89.5,-1.85,53.63,6.03,1101.0,6.9,0.4,0.56,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,14,1,2,0,0,0,0,0,1,1,1,0,0,3.29,1.51,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,0,0,0,0,0,1,2,1,1,0,3.27,1.57,0,97.2,-1.94,53.55,5.99,2114.0,7.0,0.33,1.23,19.0,0.0,14.0,1.0,0.0,0.0
1,2022,4,14,1,2,0,0,0,0,0,1,3,1,2,0,3.37,1.53,0,91.0,-2.24,53.65,5.78,2324.0,6.9,1.27,0.89,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,14,1,2,0,1,0,1,0,1,1,1,0,0,3.55,1.63,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,0,1,0,1,0,1,2,1,0,1,3.37,1.44,0,84.7,-2.18,53.56,5.92,2332.0,6.9,-0.66,3.0,19.0,3.0,1.0,0.0,0.0,0.0
1,2022,4,14,1,2,0,1,1,0,0,1,3,1,1,1,3.55,1.63,0,92.9,-2.15,53.44,5.83,1791.0,7.1,1.82,-0.36,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,14,1,2,0,1,1,0,0,1,4,1,1,2,3.55,1.63,0,99.0,-2.24,53.59,5.91,2420.0,6.9,-0.18,2.51,19.0,3.0,5.0,0.0,0.0,0.0
0,2022,4,14,1,2,0,0,1,0,0,1,1,2,0,0,3.36,1.43,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,0,0,1,0,0,1,2,2,1,0,3.36,1.48,0,86.4,-2.18,53.45,5.84,2488.0,7.0,1.12,2.05,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,14,1,2,0,0,1,0,0,1,3,2,2,0,3.41,1.56,0,97.9,-2.09,53.63,5.91,2393.0,6.9,0.68,0.82,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,14,1,2,0,1,0,0,0,2,1,0,0,0,3.46,1.54,1,,,,,,,,,,,,,,
1,2022,4,14,1,2,0,1,0,0,0,2,2,0,1,0,3.55,1.63,0,84.2,-2.31,53.63,5.96,2230.0,6.9,-0.93,1.61,19.0,0.0,13.0,1.0,0.0,0.0
1,2022,4,14,1,2,0,0,0,0,1,2,1,0,0,0,3.58,1.8,1,,,,,,,,,,,,,,
