pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,score_difference,is_LAA_score_is_higher,stand,on_3b,on_2b,on_1b,count_runner,inning,pitch_number,pitch_count_per_inning,pitch_count_per_game,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,is_incourse_ball,is_high_ball,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y,one_pitch_ago,two_pitches_ago,three_pitches_ago
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,2,2,47,0,1,0,3.39,1.45,0,79.6,-2.32,54.49,1.0,1.0,6.17,2365.0,6.0,-0.41,3.75,19.0,0.0,1.0,1.0,0.0,0.0,Sweeper,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,3,3,48,0,1,1,3.68,1.66,0,96.9,-2.2,53.75,0.0,0.0,6.12,2255.0,6.7,0.23,2.09,19.0,9.0,5.0,0.0,0.0,0.0,4-Seam Fastball,Sweeper,
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,4,4,49,0,2,1,3.59,1.62,0,98.3,-2.11,53.79,-1.0,1.0,6.14,2279.0,6.7,0.86,3.34,19.0,0.0,12.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Sweeper
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,5,5,50,0,2,2,3.39,1.45,0,81.7,-2.4,54.09,0.0,1.0,5.97,2422.0,6.4,0.16,3.56,19.0,2.0,2.0,0.0,0.0,0.0,Sweeper,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,6,6,51,0,2,2,3.39,1.45,0,81.8,-2.46,54.2,1.0,-1.0,5.91,2490.0,6.3,-0.69,1.89,19.0,3.0,7.0,0.0,0.0,0.0,Sweeper,Sweeper,4-Seam Fastball
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,7,7,52,0,2,2,3.68,1.62,0,99.5,-2.37,53.85,0.0,0.0,6.05,2266.0,6.6,-0.08,2.43,19.0,3.0,5.0,0.0,0.0,0.0,4-Seam Fastball,Sweeper,Sweeper
0,2018,4,1,1,2,3,-1,-1,0,0,0,0,0,4,8,8,53,0,3,2,3.39,1.45,0,90.1,-2.19,54.31,-1.0,-1.0,6.19,1394.0,6.2,0.08,0.37,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,4-Seam Fastball,Sweeper
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,4,1,9,54,1,0,0,3.33,1.61,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,4,2,10,55,1,1,0,3.33,1.48,0,74.5,-2.12,54.23,-1.0,-1.0,6.21,2434.0,6.3,-1.04,1.45,19.0,0.0,13.0,1.0,0.0,0.0,Curveball,,
1,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,4,3,11,56,1,2,0,3.29,1.65,0,88.2,-2.29,54.14,1.0,-1.0,6.04,1515.0,6.4,1.25,1.27,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,Curveball,
1,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,4,4,12,57,1,3,0,3.3,1.51,0,98.9,-2.27,53.86,-1.0,-1.0,6.0,2187.0,6.6,-0.26,1.2,19.0,0.0,13.0,1.0,0.0,0.0,4-Seam Fastball,Split-Finger,Curveball
1,2018,4,1,1,2,3,-1,-1,1,0,0,0,0,4,5,13,58,1,3,1,3.32,1.6,0,97.8,-2.23,53.88,-1.0,1.0,6.01,2108.0,6.6,-0.87,2.63,19.0,2.0,11.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Split-Finger
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,1,14,59,1,0,0,3.56,1.58,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,2,15,60,1,0,1,3.6,1.58,0,82.4,-2.61,54.06,1.0,1.0,5.88,2392.0,6.4,-0.67,3.44,19.0,2.0,1.0,0.0,0.0,0.0,Sweeper,,
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,3,16,61,1,0,2,3.58,1.58,0,82.2,-2.51,54.3,1.0,0.0,5.88,2406.0,6.2,-0.37,2.4,19.0,2.0,4.0,0.0,0.0,0.0,Sweeper,Sweeper,
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,4,17,62,1,1,2,3.62,1.63,0,81.6,-2.55,54.16,1.0,-1.0,5.78,2363.0,6.3,-1.31,2.41,19.0,0.0,13.0,1.0,0.0,0.0,Sweeper,Sweeper,Sweeper
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,5,18,63,1,2,2,3.46,1.53,0,89.9,-2.18,54.11,-1.0,-1.0,6.02,1339.0,6.4,0.8,-0.59,19.0,1.0,14.0,1.0,0.0,0.0,Split-Finger,Sweeper,Sweeper
1,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,1,19,64,2,0,0,3.69,1.73,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,2,20,65,2,1,0,3.61,1.64,0,96.8,-2.51,53.67,1.0,-1.0,5.9,2009.0,6.8,-1.82,2.56,19.0,0.0,13.0,1.0,0.0,0.0,4-Seam Fastball,,
1,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,3,21,66,2,2,0,3.61,1.38,0,98.6,-2.26,53.71,-1.0,-1.0,5.95,2124.0,6.8,0.97,1.98,19.0,0.0,14.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,4,22,67,2,2,1,3.61,1.38,0,97.7,-2.22,53.65,1.0,-1.0,5.93,2068.0,6.9,-0.66,1.17,19.0,9.0,13.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,5,23,68,2,2,2,3.61,1.38,0,81.8,-2.56,53.85,1.0,-1.0,5.75,2429.0,6.7,-0.11,1.08,19.0,3.0,13.0,0.0,0.0,0.0,Sweeper,4-Seam Fastball,4-Seam Fastball
1,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,6,24,69,2,2,2,3.65,1.64,0,97.2,-2.43,53.58,0.0,0.0,5.89,2149.0,6.9,-0.06,2.26,19.0,3.0,5.0,0.0,0.0,0.0,4-Seam Fastball,Sweeper,4-Seam Fastball
0,2018,4,1,1,2,3,-1,-1,0,0,0,1,1,4,7,25,70,2,3,2,3.61,1.38,0,98.3,-2.27,53.81,-1.0,-1.0,6.0,2345.0,6.7,1.29,1.14,19.0,0.0,14.0,1.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Sweeper
1,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,1,1,71,0,0,0,3.74,1.58,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,2,2,72,0,1,0,3.47,1.46,0,94.8,-2.24,54.02,1.0,1.0,6.16,2092.0,6.5,-1.77,5.1,19.0,0.0,11.0,1.0,0.0,0.0,4-Seam Fastball,,
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,1,3,73,1,0,0,3.32,1.52,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,2,4,74,1,0,1,3.54,1.35,0,95.5,-2.27,53.85,-1.0,1.0,6.12,2182.0,6.6,-0.41,2.86,19.0,2.0,1.0,0.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,3,5,75,1,0,2,3.54,1.35,0,88.2,-2.38,54.26,-1.0,-1.0,6.15,1358.0,6.2,-0.01,1.05,19.0,9.0,13.0,0.0,0.0,0.0,Split-Finger,4-Seam Fastball,
0,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,4,6,76,1,0,2,3.54,1.35,0,90.0,-2.38,54.27,0.0,-1.0,6.06,1311.0,6.2,-0.24,1.59,19.0,3.0,8.0,0.0,0.0,0.0,Split-Finger,Split-Finger,4-Seam Fastball
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,5,7,77,1,0,2,3.54,1.35,0,88.9,-2.28,54.26,0.0,0.0,6.09,1377.0,6.2,-0.25,2.71,19.0,3.0,5.0,0.0,0.0,0.0,Split-Finger,Split-Finger,Split-Finger
0,2018,4,1,1,4,3,1,1,1,0,0,0,0,5,6,8,78,1,0,2,3.54,1.35,0,98.2,-2.49,53.99,-1.0,1.0,6.05,2301.0,6.5,-0.45,2.99,19.0,3.0,1.0,0.0,0.0,0.0,4-Seam Fastball,Split-Finger,Split-Finger
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,1,9,79,2,0,0,3.63,1.64,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,2,10,80,2,0,1,3.33,1.46,0,81.1,-2.55,54.18,-1.0,-1.0,5.89,2312.0,6.3,0.57,1.62,19.0,2.0,9.0,0.0,0.0,0.0,Sweeper,,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,3,11,81,2,0,2,3.71,1.64,0,89.6,-2.26,54.01,-1.0,-1.0,6.11,1496.0,6.5,0.46,0.36,19.0,9.0,14.0,0.0,0.0,0.0,Split-Finger,Sweeper,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,4,12,82,2,1,2,3.33,1.46,0,90.8,-2.24,54.48,-1.0,-1.0,6.06,1583.0,6.0,0.71,0.3,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,Split-Finger,Sweeper
1,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,5,13,83,2,1,2,3.63,1.6,0,81.8,-2.56,54.14,0.0,1.0,5.81,2452.0,6.4,-0.24,2.93,19.0,3.0,2.0,0.0,0.0,0.0,Sweeper,Split-Finger,Split-Finger
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,5,6,14,84,2,2,2,3.33,1.46,0,98.3,-2.18,53.7,-1.0,1.0,6.07,2238.0,6.8,1.3,2.95,19.0,0.0,12.0,1.0,0.0,0.0,4-Seam Fastball,Sweeper,Split-Finger
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,6,1,1,85,0,0,0,3.61,1.67,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,6,2,2,86,0,1,0,3.22,1.4,0,95.3,-2.19,53.89,1.0,-1.0,6.17,2072.0,6.6,1.56,1.39,19.0,0.0,14.0,1.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,1,1,4,3,1,1,1,0,0,0,0,6,1,3,87,1,0,0,3.49,1.53,1,,,,,,,,,,,,,,,,,,,
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,6,2,4,88,1,0,1,3.69,1.66,0,87.5,-2.22,54.33,-1.0,0.0,6.21,1381.0,6.2,-0.46,2.51,19.0,3.0,4.0,0.0,0.0,0.0,Split-Finger,,
1,2018,4,1,1,4,3,1,1,1,0,0,0,0,6,3,5,89,1,1,1,3.49,1.53,0,98.1,-2.39,53.51,-1.0,1.0,6.04,2132.0,7.0,-0.53,3.77,19.0,0.0,1.0,1.0,0.0,0.0,4-Seam Fastball,Split-Finger,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,6,1,6,90,2,0,0,3.39,1.45,1,,,,,,,,,,,,,,,,,,,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,6,2,7,91,2,0,1,3.39,1.45,0,89.9,-2.35,54.36,-1.0,-1.0,6.14,1533.0,6.1,0.48,1.44,19.0,9.0,9.0,0.0,0.0,0.0,Split-Finger,,
0,2018,4,1,1,4,3,1,1,0,0,0,0,0,6,3,8,92,2,0,2,3.39,1.45,0,90.4,-2.34,54.25,0.0,-1.0,6.14,1582.0,6.3,0.22,1.71,19.0,9.0,8.0,0.0,0.0,0.0,Split-Finger,Split-Finger,
1,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,3.14,1.58,1,,,,,,,,,,,,,,,,,,,
1,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,2,2,2,0,1,0,3.12,1.53,0,95.0,-2.17,54.16,-1.0,1.0,6.12,2189.0,6.3,-1.91,2.56,19.0,0.0,11.0,1.0,0.0,0.0,4-Seam Fastball,,
0,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,3,3,3,0,1,1,3.15,1.59,0,93.4,-2.05,54.13,-1.0,-1.0,6.12,2158.0,6.4,-0.48,1.65,19.0,2.0,7.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,
1,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,4,4,4,0,2,1,3.22,1.41,0,86.3,-2.03,54.3,1.0,-1.0,6.21,1381.0,6.2,1.51,-0.94,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,4-Seam Fastball,4-Seam Fastball
1,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,5,5,5,0,2,2,3.22,1.41,0,95.8,-2.13,53.91,0.0,0.0,6.12,2294.0,6.6,-0.08,2.4,19.0,9.0,5.0,0.0,0.0,0.0,4-Seam Fastball,Split-Finger,4-Seam Fastball
0,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,6,6,6,0,2,2,3.22,1.41,0,95.7,-2.12,53.99,-1.0,1.0,6.13,2279.0,6.5,-0.72,2.67,19.0,3.0,1.0,0.0,0.0,0.0,4-Seam Fastball,4-Seam Fastball,Split-Finger
0,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,1,7,7,1,0,0,3.36,1.51,1,,,,,,,,,,,,,,,,,,,
1,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,2,8,8,1,0,1,3.27,1.41,0,79.7,-2.26,54.64,0.0,0.0,6.04,2339.0,5.9,-0.26,2.73,19.0,2.0,5.0,0.0,0.0,0.0,Sweeper,,
0,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,3,9,9,1,0,2,3.41,1.56,0,95.9,-2.18,54.1,0.0,0.0,6.07,2246.0,6.4,-0.19,2.41,19.0,3.0,5.0,0.0,0.0,0.0,4-Seam Fastball,Sweeper,
0,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,4,10,10,1,1,2,3.32,1.66,0,85.9,-1.96,54.47,0.0,-1.0,6.2,1362.0,6.0,0.0,1.6,19.0,0.0,8.0,1.0,0.0,0.0,Split-Finger,4-Seam Fastball,Sweeper
0,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,5,11,11,1,2,2,3.41,1.56,0,87.2,-1.97,54.49,-1.0,-1.0,6.23,1240.0,6.0,0.51,1.2,19.0,0.0,14.0,1.0,0.0,0.0,Split-Finger,Split-Finger,4-Seam Fastball
1,2018,4,8,0,0,0,0,0,0,0,0,0,0,1,6,12,12,1,3,2,3.27,1.41,0,82.3,-2.37,54.77,1.0,1.0,5.95,2272.0,5.7,-1.23,2.83,19.0,0.0,11.0,1.0,0.0,0.0,Sweeper,Split-Finger,Split-Finger
1,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,1,13,13,2,0,0,3.51,1.6,1,,,,,,,,,,,,,,,,,,,
0,2018,4,8,0,0,0,0,0,1,0,0,0,0,1,2,14,14,2,0,1,3.16,1.35,0,96.7,-2.17,53.97,0.0,-1.0,5.99,2273.0,6.5,-0.25,1.74,19.0,2.0,8.0,0.0,0.0,0.0,4-Seam Fastball,,
